name,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
Kerala,19,24,24,27,27,28,40,52,67,95,109,118,137,176,182,202,234,241,265,286,295,306,314,327,336,345,357,364,373,375,375,386,387,394,395,399,401,407
Haryana,14,14,14,15,16,17,19,21,21,22,30,31,32,33,35,35,36,43,43,49,58,84,90,110,143,167,170,176,179,195,195,198,204,215,223,232,250,251
Maharashtra,14,31,38,41,43,49,52,64,74,97,107,122,125,156,186,203,238,302,335,423,490,635,748,868,1018,1135,1364,1574,1761,1982,2064,2684,2916,3202,3320,3648,4200,4666
Uttar Pradesh,12,12,13,15,17,20,24,26,30,32,35,38,42,49,65,72,96,104,117,126,174,234,278,305,332,361,410,433,452,483,483,660,735,805,849,974,1100,1184
Delhi,7,7,7,8,10,11,20,26,27,30,30,35,36,40,49,72,97,120,152,293,386,445,503,525,576,669,720,903,1069,1154,1154,1561,1561,1640,1707,1893,2003,2081
Karnataka,6,6,7,11,14,15,15,20,26,33,41,51,55,64,81,83,91,101,110,124,128,144,151,163,175,181,197,207,215,232,247,260,279,315,359,384,390,408
Jammu and Kashmir,5,5,5,9,11,4,4,4,4,4,6,11,14,20,33,38,49,55,62,70,75,92,106,109,125,158,184,207,224,245,245,278,300,314,328,341,354,368
Rajasthan,3,4,4,4,4,7,17,24,28,29,32,38,40,50,54,59,79,93,120,133,179,200,266,301,343,383,463,561,700,804,815,1005,1046,1131,1229,1351,1478,1576
Andhra Pradesh,1,1,1,1,1,2,3,3,6,6,8,10,11,13,19,21,23,44,111,149,164,192,252,303,314,348,363,381,405,420,432,483,525,534,572,603,647,722
Punjab,1,1,1,1,1,2,3,13,21,21,29,31,33,38,38,38,41,41,46,47,53,65,68,79,99,106,130,151,158,170,170,184,186,197,211,234,244,245
Tamil Nadu,1,1,1,1,2,3,3,6,9,9,18,26,29,38,42,50,67,124,234,309,411,485,571,621,690,738,834,911,969,1075,1075,1204,1242,1267,1323,1372,1477,1520
Telangana,1,3,3,5,6,13,19,21,27,33,37,41,44,59,67,70,77,92,97,154,229,272,334,364,404,453,471,487,503,531,531,644,650,700,766,809,858,872
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,16,23,26,26,26,28,28,29,29,29,29,30,32,32,34,34,34,34,35
Bihar,0,0,0,0,0,0,0,0,2,2,3,4,7,9,11,15,15,21,24,29,31,32,32,32,38,39,58,60,64,64,65,66,70,83,85,86,96,113
Gujarat,0,0,0,0,0,2,7,14,18,30,34,38,43,47,55,63,70,74,87,88,95,108,128,146,175,186,262,378,468,516,538,650,766,929,1099,1376,1743,1939
Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,9,11,11,11
Madhya Pradesh,0,0,0,0,0,0,4,4,6,6,7,15,20,29,39,39,47,66,86,107,154,179,193,256,290,341,411,451,529,562,562,741,938,1164,1310,1402,1407,1485
Odisha,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,5,5,20,21,39,40,42,42,44,50,54,54,54,60,60,60,60,61,61,74
Puducherry,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7
Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
West Bengal,0,0,0,1,1,1,2,4,7,7,9,9,10,15,18,21,22,27,37,53,53,53,80,80,91,99,103,116,126,134,152,190,213,231,255,287,310,339
Goa,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chhattisgarh,0,0,0,0,0,1,1,1,1,1,1,3,6,6,7,7,8,9,9,9,9,10,10,10,10,10,18,18,25,31,31,33,33,33,36,36,36,36
Himachal Pradesh,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,6,6,6,13,18,27,27,28,28,32,32,32,32,35,35,38,39,39,39
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4,4,13,14,17,19,19,27,28,29,32,32,41,42
Manipur,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mizoram,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,0,1,1,1,1,1,3,3,3,4,4,5,5,5,6,7,7,7,7,10,16,22,26,31,31,35,35,35,35,35,35,37,37,37,40,42,44,46
Chandigarh,0,0,0,0,0,1,5,5,6,7,7,7,7,8,8,8,13,15,17,18,18,18,18,18,18,18,18,19,19,21,21,21,21,21,21,23,26,26
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
